x__,X__,Y__,x___1,x____,x_____1,x_____,amplitude_1,phase_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1900,1967.46353,350.8172098,0.123894321,2.28002724,-0.0806862177355186+0.094018812267851i,6.96E-06,2.393425592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1900,208.3650212,203.7119132,1,4.011235935,-0.645099156239247-0.764098867044973i,0.000658664,0.666985136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1900,3637.864363,322.594542,0.176350115,3.8928931,-0.128876983967805-0.120374772708101i,4.41E-05,2.231918251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1500,2611.563796,198.7098278,0.236322395,1.229602424,0.079076406534125+0.222699789587891i,7.23E-05,-2.233267602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1700,3097.007723,89.5121621,0.267636473,4.607925065,-0.0279075313349533-0.266177481421495i,0.000126224,-2.23666069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200,1060.852278,165.5037543,0.17490181,3.950038147,-0.120791301515327-0.126491519738099i,2.95E-05,0.065915447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1300,863.3672752,88.10205006,0.224901461,6.081544599,0.220344800305749-0.0450426048028624i,1.87E-05,1.377881537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1300,4559.683507,349.4566303,0.176728111,2.573792838,-0.148997035833511+0.0950405617694026i,5.95E-05,2.227704977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1900,3452.370589,356.5608728,0.115541229,1.428571655,0.0163774692855522+0.114374621716067i,1.24E-05,-1.486550492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1700,4935.955783,35.16959381,0.241110322,4.063109482,-0.145778355344284-0.192049104372512i,7.73E-05,-2.015790669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1900,3149.455627,111.4095431,0.189827092,2.561606987,-0.158784763171853+0.104027514128388i,3.65E-05,-2.599432537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1200,3433.469248,15.58260043,0.219913765,5.504665652,0.156568453069508-0.154429219230306i,9.98E-05,2.461747128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1900,4024.590342,344.7269847,0.2320137,1.578249193,-0.00172915095639727+0.23200725653311i,4.60E-05,1.983774787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1400,3086.100769,57.10576791,1,2.909542361,-0.973196928243259+0.229973343798548i,0.001912735,1.670390931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1600,4334.379331,30.59569476,0.124594616,3.343708494,-0.12205837241908-0.0250114409071086i,9.69E-06,2.907372415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,4224.211933,264.2060321,0.16761612,4.035146649,-0.105036029591986-0.130623873131662i,4.55E-05,-1.441633463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1300,3233.779416,132.5778136,0.147574164,1.967178512,-0.056975960606533+0.136131825449509i,1.64E-05,-2.606032487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1300,4612.310855,43.43387226,0.274095739,3.360804531,-0.26753639163596-0.0596049768292936i,0.000159652,-1.195212795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,1227.53502,340.9506307,0.120678781,1.204767881,0.0431921184201457+0.112684555302243i,2.68E-05,2.159490977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1200,2584.560784,316.0507803,1,4.455122909,-0.254437553364669-0.967089205522325i,0.002114293,2.545066329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1400,4591.939283,208.2605935,0.16560609,2.243106802,-0.103138699438428+0.129567688139573i,3.84E-05,2.921158171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1600,4066.144539,230.3738601,0.102651744,0.990207789,0.0563061374579632+0.0858312262904685i,7.69E-06,-0.521422698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,2297.283709,66.99566131,0.23942427,0.812228734,0.164695760102543+0.173779422228215i,4.23E-05,1.800621017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1500,4650.817693,99.63976273,0.297521593,2.616789946,-0.257481972885503+0.14907089513873i,0.000173664,-2.666328381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1300,1111.381462,180.3011636,0.253611057,3.962126158,-0.172919890650781-0.185518946441516i,5.22E-05,-2.953510823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1700,419.6639443,135.0403859,0.156459422,2.425602384,-0.118039814837624+0.102694463723598i,1.38E-06,-1.544442114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,1450.198359,311.1462366,0.138980029,0.086397418,0.138461642776929+0.011992582942197i,3.18E-05,-2.093991479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1700,1194.773558,192.7448786,0.270352965,5.993345145,0.259076426553266-0.0772666228275431i,9.40E-05,2.978428353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1300,4838.670504,100.0553004,1,2.971308426,-0.98553664086476+0.169462472285181i,0.001918678,-1.809495027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1600,3326.278765,321.1196948,0.249051369,0.983135393,0.138078033253737+0.207270453983825i,0.000105602,0.02442023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1300,2959.119727,222.8765344,0.174570351,1.961535054,-0.0664888830614999+0.161412626183905i,3.92E-05,0.855910721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1100,1690.674978,275.7843291,0.149218704,0.835577385,0.100088379432048+0.110673112466142i,2.74E-05,-0.775062881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1800,2071.202659,340.3043889,0.169006828,6.234595958,0.168807360565866-0.00820870077902388i,2.81E-05,-1.660435656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,3737.775395,345.8675432,0.138983801,0.108231529,0.13817056248455+0.0150130784110046i,1.18E-05,-2.791694029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1100,3327.414447,62.06037802,0.227675722,0.150137082,0.225114503133467+0.0340542942532407i,7.39E-05,3.006176494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1700,1107.250194,7.91556066,0.181047543,6.1971335,0.180377636078448-0.0155602479884448i,2.83E-05,0.582237638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,258.5678393,327.0486148,1,3.368483358,-0.974370536739017-0.224949010077664i,8.76E-05,-1.358116272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1700,2611.157045,179.5585654,0.221306504,5.856992694,0.201509828941184-0.091489659108085i,4.66E-05,-2.531087563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
